resource_id,tool_id,tool_route,relationship
wellness-p039,,,no-specialized-tool
wellness-p040,,,no-specialized-tool
wellness-p041,,,no-specialized-tool
wellness-p043,,,no-specialized-tool
wellness-p044,,,no-specialized-tool
wellness-p045,,,no-specialized-tool
wellness-p046,,,no-specialized-tool
wellness-p047,,,no-specialized-tool
wellness-p048,,,no-specialized-tool
wellness-p049,,,no-specialized-tool
wellness-p050,,,no-specialized-tool
wellness-p052,,,no-specialized-tool
wellness-p053,,,no-specialized-tool
wellness-p054,,,no-specialized-tool
wellness-p055,,,no-specialized-tool
wellness-p056,,,no-specialized-tool
wellness-p057,,,no-specialized-tool
wellness-p058,,,no-specialized-tool
wellness-p059,,,no-specialized-tool
wellness-p060,,,no-specialized-tool
wellness-p061,,,no-specialized-tool
wellness-p062,,,no-specialized-tool
